ID_Alocacao,ID_Colaborador,ID_Contrato,Tipo_Alocacao,Data_Inicio_Alocacao,Supervisor_Direto
1,72,87,Meio Período,11/30/2022,Mariel Degan
2,31,40,Reserva.,3/3/2023,Elyn Shovelin
3,75,89,Meio Período,1/16/2021,Martha Abercrombie
4,65,78,Reserva.,8/26/2025,Corrine Dellow
5,81,81,Tempo Integral,6/25/2022,Markos Mordan
6,92,21,Tempo Integral,7/15/2024,Zarah Conway
7,17,15,Meio Período,7/5/2024,Astrid Budd
8,87,39,Tempo Integral,9/13/2022,Giordano MacSkeaghan
9,11,47,Reserva.,7/27/2023,Samuel Caughey
10,80,84,Meio Período,3/23/2022,Art Croix
11,82,71,Reserva.,1/7/2021,Margeaux Roels
12,46,21,Reserva.,8/28/2023,Chelsae Hellard
13,33,51,Tempo Integral,5/8/2025,Lillis Pitkeathley
14,34,2,Tempo Integral,10/4/2025,Neile Dunphie
15,40,55,Reserva.,4/24/2025,Hanny Goldsberry
16,83,48,Meio Período,8/1/2023,Olympie Chipp
17,47,49,Meio Período,7/5/2022,Rycca Cheavin
18,100,22,Meio Período,7/24/2023,Fredia Fennessy
19,88,18,Reserva.,1/19/2022,Bonnibelle Tungate
20,18,4,Tempo Integral,2/1/2025,Elenore Spittal
21,87,47,Reserva.,7/4/2024,Flor Kenson
22,66,94,Meio Período,3/31/2023,Arney MacSkeagan
23,74,36,Tempo Integral,10/24/2024,Dew Carbin
24,68,97,Tempo Integral,9/24/2024,Derick Cumo
25,15,100,Tempo Integral,8/16/2021,Nilson Hubbocks
26,51,74,Reserva.,8/6/2023,Arly Iacomettii
27,55,42,Meio Período,8/4/2025,Jacinta Fitzgerald
28,20,84,Reserva.,5/28/2024,Ber Matchitt
29,41,67,Reserva.,10/1/2025,Forrester Delicate
30,22,42,Reserva.,4/8/2022,Monah Beazleigh
31,79,89,Reserva.,2/1/2023,Huntley Beaze
32,74,56,Tempo Integral,7/24/2022,Pam Lavarack
33,74,10,Meio Período,3/15/2024,Judy Siggee
34,62,96,Meio Período,11/7/2020,Court Hagan
35,91,29,Meio Período,10/22/2021,Munroe Deinhardt
36,75,14,Tempo Integral,5/23/2022,Carola Spawton
37,64,48,Reserva.,6/3/2021,Tybie Schettini
38,48,48,Meio Período,3/1/2024,Revkah Glendenning
39,63,62,Tempo Integral,4/15/2022,Thia Slinger
40,82,89,Tempo Integral,7/16/2025,Rik Arrault
41,32,75,Reserva.,7/9/2024,Trevor Korpolak
42,60,19,Meio Período,4/28/2024,Rochette Espasa
43,26,77,Meio Período,3/28/2021,Anatole Drife
44,55,91,Reserva.,3/25/2022,Michelina Dudding
45,87,96,Meio Período,8/12/2021,Jojo Voelker
46,22,12,Meio Período,10/22/2024,Courtnay O'Fihily
47,11,68,Reserva.,7/20/2021,Shanan Ketcher
48,8,28,Reserva.,11/30/2024,Fonzie Mayall
49,71,89,Reserva.,9/16/2022,Rora Whiten
50,32,66,Tempo Integral,7/18/2021,Ludvig Quilligan
51,82,31,Reserva.,1/2/2024,Vivian Ranns
52,94,58,Meio Período,8/26/2022,Rozalie Tower
53,27,73,Meio Período,11/7/2021,Tyne Pretsel
54,28,99,Reserva.,2/22/2021,Eben Chrystie
55,67,81,Reserva.,10/11/2022,Kinna Wardell
56,25,88,Reserva.,10/24/2021,Gan Matyasik
57,54,11,Tempo Integral,5/2/2021,Cynde Dumbarton
58,10,5,Meio Período,11/8/2020,Marybelle Poulsen
59,20,29,Reserva.,6/6/2022,Koral Gockeler
60,91,27,Meio Período,5/27/2023,Cherida Fulep
61,32,87,Meio Período,6/29/2025,Aubree Fountaine
62,16,8,Meio Período,2/14/2021,Dallas Loosemore
63,66,80,Tempo Integral,5/26/2024,Othilia Sambiedge
64,20,57,Reserva.,2/26/2023,Barnebas Colcomb
65,21,17,Reserva.,8/16/2021,Mufi Debow
66,39,62,Tempo Integral,10/10/2024,Cesar Minguet
67,39,95,Tempo Integral,8/22/2023,Art Proughten
68,73,56,Meio Período,4/6/2025,Claudine Gilbane
69,85,54,Meio Período,1/16/2022,Kristos Kleynermans
70,100,3,Tempo Integral,6/10/2025,Jordan Dosdale
71,15,81,Reserva.,12/12/2024,Kimberlyn Mille
72,80,69,Meio Período,7/26/2021,Brennan Behagg
73,44,48,Meio Período,8/22/2021,Rickie Dumigan
74,6,11,Reserva.,8/4/2023,Niall Ridpath
75,80,23,Meio Período,6/3/2025,Addison Reynalds
76,35,62,Tempo Integral,5/4/2022,Reinhold Roust
77,25,67,Tempo Integral,11/22/2021,Luther Knudsen
78,21,99,Tempo Integral,5/1/2022,Greer Northey
79,19,61,Meio Período,8/3/2025,Allina Isacq
80,68,14,Tempo Integral,9/10/2021,Lizbeth Cradey
81,1,79,Reserva.,1/31/2022,Jedediah Gostick
82,11,6,Meio Período,10/11/2025,Valida McCullum
83,6,3,Reserva.,12/14/2023,Felecia Conyard
84,2,49,Meio Período,6/8/2024,Stefania Pietasch
85,51,66,Tempo Integral,7/18/2024,Constantia Titta
86,44,70,Tempo Integral,9/25/2021,Karel Newtown
87,81,18,Meio Período,2/14/2023,Bradley Bottrill
88,29,31,Meio Período,4/29/2024,Tedie Warry
89,42,29,Reserva.,4/6/2025,Cayla Krolman
